,,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction
Grenada,GRD,154.77,68.16,54.6,320.53,126.7,70.71,0.0,33.1089416058394,41.3861770072993,322.812180656934,16.5544708029197,115.88129562043801
Guatemala,GTM,268.18,108.99,5.38,225.75,75.67,59.3,216.51965982932998,88.1931071230579,4.298018511693329,794.184511485359,56.8789722521494,339.264370312624
Guinea,GIN,383.96,42.24,20.57,293.03,27.36,60.35,559.368152717482,40.4706707172529,19.997272589701396,289.246264243896,22.2985460226433,259.88518940981004
Guinea-Bissau,GNB,304.41,37.32,2.75,138.08,38.52,42.23,219.328632281833,41.7768823393967,6.788743380151969,146.219088187889,34.4659279300023,366.069931498964
Guyana,GUY,351.08,174.76,61.58,676.11,92.64,90.19,1636.0372151206,132.396075212071,115.84656581056299,665.526699503538,82.7475470075447,222.236269105977
Haiti,HTI,242.17,17.19,11.48,254.5,36.53,60.02,89.73850128184272,18.829817849309197,3.13830297488486,290.080977678546,19.6780078425213,54.5386165635396
Honduras,HND,271.7,192.89,6.53,155.2,69.68,50.24,143.64967046786302,167.641056873099,15.828342068184499,379.880209636428,53.159337512015895,525.620415849146
Hungary,HUN,232.64,404.01,11.78,297.04,167.21,28.3,2625.3655117857397,398.20718721364096,4.267830990640141,531.901631942172,204.391992877831,559.271417643016
Iceland,ISL,158.95,549.35,184.32,303.27,202.1,28.1,27.470476017441896,837.849518531977,7801.615188953491,24.723428415697697,373.59847383720904,0.0
India,IND,353.74,198.46,12.83,264.34,8.02,62.38,393.819978733008,221.60367008830397,14.0403438905275,286.361527842104,10.8870309705955,99.0156875108575
Indonesia,IDN,548.54,22.24,77.62,213.3,25.16,67.76,667.715969409164,22.280839749448198,156.966514761831,217.21887702786898,25.068577972117897,1452.62929634064
Iraq,IRQ,369.11,46.57,4.89,195.71,33.7,42.73,177.01352359956903,20.7336111059573,2.62676745868831,113.104016303715,9.76749453085072,4.615970000219269
Ireland,IRL,257.2,652.18,42.42,320.28,203.87,37.44,1028.97093454388,2630.4373520934196,119.334889509353,107.440398888323,526.67244536726,51.4777954746229
Israel,ISR,285.1,386.74,46.83,506.9,199.47,83.26,73.2252769634354,355.210815580392,5.7988961570422495,679.835296528541,181.81245010020697,59.9219269561032
Italy,ITA,323.77,510.56,58.86,528.75,165.87,81.49,529.454030217656,377.37919845806704,10.4078786876332,931.078344640152,122.243904643381,146.998183018428
Jamaica,JAM,229.16,142.96,43.18,369.12,131.2,54.18,1.2551763737366102,130.538342868607,8.786234616156241,356.156296047762,83.1554347600501,203.33857254533
Japan,JPN,284.14,154.52,97.22,252.44,97.64,46.67,158.832525934849,140.849746646349,65.5659079300853,188.113906006112,61.575247804178495,28.409530700949396
Jordan,JOR,269.25,89.48,11.61,327.75,78.79,67.31,18.6007297190549,84.9759652428404,0.29369573240613,450.725050665941,48.94928873435509,30.9359504801124
Kazakhstan,KAZ,246.14,563.69,9.26,531.17,146.9,49.06,1919.89286263048,567.4804330976181,3.7171207408140896,613.118415526502,114.353089456989,226.744365189659
Kenya,KEN,283.02,167.08,7.8,212.11,35.09,50.53,171.419950963212,178.39270899951802,6.991705748361371,204.862662740605,33.4427117773924,67.6433320369921
Kiribati,KIR,216.03,9.1,152.25,243.43,57.22,280.24,0.0,0.0,2453.39853961958,253.517849094023,32.7119805282611,2796.87433516632
Kuwait,KWT,303.55,115.26,24.34,524.73,145.24,53.83,4.493836671802769,65.7519260400616,2.36517719568567,197.965331278891,54.399075500770394,0.0
Kyrgyzstan,KGZ,331.31,418.51,3.68,417.24,75.01,26.79,533.887183845937,459.748872316718,0.30446945186537605,464.163679368766,80.2277005665266,89.5140188484206
Latvia,LVA,245.09,430.51,48.58,343.93,161.55,27.29,2744.71065791647,948.205799756716,107.626807731007,190.276930123594,108.08092928261401,390.544534382556
Lebanon,LBN,290.22,131.06,16.1,447.07,56.53,72.49,48.881794301879204,108.873087308731,1.38868733812157,503.26029133525594,41.660620143647,50.548219107624995
Lesotho,LSO,332.44,43.44,2.89,74.46,47.16,24.91,73.5786417810415,37.890797563889606,0.8811813386951071,39.6531602412798,11.0147667336888,4.84649736282309
Liberia,LBR,217.0,7.5,13.29,133.19,41.88,44.33,116.02932317881701,6.08545401287501,5.88260554577917,127.79453427037501,14.605089630899998,101.829930482108
Lithuania,LTU,291.67,685.63,64.26,274.21,178.72,33.06,3770.9127232356,1131.55229579655,58.4805534332919,179.46413222915,188.437338840607,649.783927036577
Luxembourg,LUX,192.99,341.19,70.53,358.89,180.73,28.51,566.650474644458,1134.90165684441,0.0,64.0283022197127,94.4417457740763,49.621934220277396
Madagascar,MDG,346.92,45.0,8.91,120.8,29.28,13.57,303.77894424754504,42.1509662628141,10.331853186977499,125.479608270828,28.150556509446,24.5943026950878
Malawi,MWI,299.91,8.19,18.22,309.31,37.46,54.48,325.215526446227,20.261636996649802,15.9275969973664,445.43096092634903,38.410429493649,131.48393847826
Malaysia,MYS,350.04,44.22,116.18,231.21,116.25,54.25,170.282844349832,50.347620293508996,119.84531759151301,153.979805397648,138.425986985547,7433.28669754775
Maldives,MDV,246.2,71.76,273.74,255.02,43.72,24.4,0.0,0.0,506.517607491427,25.924129517277798,0.0,7.9766552360854694
Mali,MLI,471.13,141.76,14.82,252.02,51.91,52.12,838.008344907155,132.549833187872,9.88401424870318,243.71898292197002,47.131141628026704,130.57303033813102
Malta,MLT,283.97,223.56,64.5,559.16,167.95,38.92,50.2178245225574,205.056116800443,25.1089122612787,382.9109119845,56.495052587877105,6.27722806531968
Mauritania,MRT,389.25,188.6,17.11,98.55,73.85,46.06,140.349902379952,158.061791018956,184.293322294442,14.348871808813,63.4489175295949,24.6621234213973
Mauritius,MUS,365.32,49.98,46.54,204.5,107.37,68.14,1.44059358772807,24.4900909913773,12.2450454956886,127.49253251393499,72.74997618026771,2.16089038159211
Mexico,MEX,340.36,277.03,30.33,349.17,139.66,49.14,516.729115039063,212.528205966506,25.237166114139498,497.767739790475,103.345823007813,80.0740291220308
Mongolia,MNG,176.73,348.82,0.95,105.24,209.45,16.79,130.702605354784,391.200159082723,0.0,44.7777444271021,287.12215852243196,10.286779125145099
Montenegro,MNE,194.33,685.4,24.18,458.23,156.69,32.81,20.2574167410999,536.821543639148,4.34087501594998,303.861251116499,37.6209168048998,7.23479169324997
Morocco,MAR,533.63,119.39,40.4,423.35,76.32,42.64,611.828284713648,150.87646767791,73.2006036591698,514.707283577009,71.7873635456213,68.9870544317382
Mozambique,MOZ,243.05,35.75,24.06,113.42,20.42,50.5,100.87661027290899,41.330224095850895,19.289674395385,115.26838473485701,17.2432915464832,77.2928866208121
Namibia,NAM,234.1,131.51,24.13,135.23,64.0,33.22,97.97237461661409,86.9994686595533,380.91659250939597,96.01292712428179,67.0131042377641,18.026916929457
Nepal,NPL,500.02,102.43,5.78,372.33,30.22,49.69,622.922934011178,127.94266191819901,4.70130516234851,369.891974023349,28.140669471771805,65.012334245048
Netherlands,NLD,173.29,674.93,44.18,357.91,170.38,42.52,181.292394544972,1544.01135667267,41.614236502641894,639.85235971308,356.85412846474,202.233406736134
New Caledonia,NCL,196.25,72.3,50.57,266.0,152.49,89.93,46.8552718955213,20.0808308123663,33.4680513539438,147.259425957353,66.9361027078876,127.178595144986
New Zealand,NZL,221.59,252.62,48.8,342.7,218.05,32.41,438.795916377182,8770.610312426179,206.81599642867198,925.757155116556,803.083027957343,16.7104179623927
Nicaragua,NIC,318.45,183.48,11.6,128.68,63.02,52.34,218.806391043894,272.74267664432006,18.9505868325824,168.951770299715,81.4875233801042,138.33928387785102
Niger,NER,435.54,108.71,3.54,250.55,33.16,108.22,495.690100971619,110.259185237625,2.4491962167140096,254.716406538257,30.478886252441,208.36310036267
Nigeria,NGA,275.5,9.79,22.45,276.9,17.11,60.34,254.9308874007,10.1167025372169,10.297000206197,277.347897577227,16.161682716633102,177.498046842329
Norway,NOR,240.62,554.3,100.07,303.64,152.87,48.55,474.193211714207,593.526602741623,1342.84957710237,76.2407776008492,144.630674213053,62.981511931136296
Oman,OMN,286.93,257.22,55.95,480.32,96.08,31.5,33.588815072586,102.46714471510401,110.12029245316201,338.651787409048,38.2657386902879,2.97622412035572
Pakistan,PAK,274.57,367.97,3.77,90.77,36.96,26.82,374.35200531563,385.128488420021,5.86360773387911,107.77847791993601,35.1998422379803,52.608707092561595
Panama,PAN,348.95,155.31,27.25,202.76,143.98,42.55,177.61988690912702,114.298511524535,96.23934670365809,327.35093700626703,148.588064981895,46.8623897250592
Paraguay,PRY,204.74,171.57,8.19,240.24,113.65,52.67,1923.48311268922,162.618548308727,6.238910110259759,231.5178164829,209.410374135676,2800.32124014203
Peru,PER,328.78,129.49,50.16,388.61,55.81,45.13,325.620106410316,137.935261314711,296.919568549884,545.965210876142,117.03507710514299,80.1769174877005
Philippines,PHL,433.92,9.24,59.76,354.77,81.42,32.16,456.101328270848,9.008487638377051,79.96587498326609,408.47361404072996,66.74631915890221,297.81313867226396
Poland,POL,284.72,380.35,21.34,330.91,188.65,18.03,1335.8732561692,676.940719612516,11.8782452474202,443.168266459975,263.84969664048697,196.301121257567
Portugal,PRT,262.76,455.64,105.4,549.41,210.08,47.4,216.90159138146402,407.554502886187,35.4357178335994,829.020806107047,171.053897196757,149.442484098241
Romania,ROU,326.08,519.55,11.76,546.22,146.79,39.19,1760.5385339246802,457.253762703154,1.36588796983915,518.8553101429,120.79002613277599,340.424811682912
Rwanda,RWA,101.56,43.91,14.31,589.04,21.62,84.08,97.9073921613641,41.8919159614639,4.94723578973478,621.117473988638,20.4272961640662,77.40030187165699
Saint Kitts and Nevis,KNA,133.41,39.74,73.31,168.04,173.35,64.5,0.0,0.0,620.14599609375,106.3107421875,0.0,141.74765625
Saint Lucia,LCA,159.26,65.38,66.49,184.85,202.53,42.6,0.0,20.257578295092898,20.257578295092898,227.897755819796,45.5795511639591,136.73865349187702
Saint Vincent and the Grenadines,VCT,241.72,63.84,36.52,359.67,191.59,40.47,16.6227210261109,33.2454420522217,648.286120018323,1255.01543747137,8.31136051305543,58.179523591388
Samoa,WSM,119.32,64.44,95.99,388.9,205.56,359.85,0.0,18.7522091881556,79.69688904966151,445.36496821869696,56.256627564467,1706.45103612216
Sao Tome and Principe,STP,181.4,17.64,58.78,446.46,31.89,262.55,9.09777866920724,0.0,54.586672015243394,459.437822794966,4.54888933460362,568.611166825453
Saudi Arabia,SAU,364.27,148.26,23.31,265.07,123.39,53.53,88.6658288581727,165.719294323953,5.57736665398183,156.795507677582,56.6031210678464,9.238407329416061
Senegal,SEN,449.14,24.85,34.12,173.7,31.36,56.09,267.828305596064,21.593034861021,53.391423373936604,151.524610624167,29.247050099942,179.900471997728
Serbia,SRB,289.17,357.14,11.13,405.51,119.8,29.77,1729.38662104952,354.62543287092797,2.2483456839078997,536.843630798555,109.657950856054,277.159704307192
Sierra Leone,SLE,408.19,51.18,55.22,160.53,20.45,61.15,247.03772147168598,48.825683813656305,50.9760377639987,154.825484424651,12.6491408843669,121.431752489922
Slovakia,SVK,224.61,287.61,18.9,221.09,125.96,33.1,1272.41991975142,354.655342270693,1.0013797899407801,66.7586526627186,56.9117513949676,216.631827890522
Slovenia,SVN,289.63,472.89,22.53,419.18,174.42,31.1,550.565635863268,585.167612977984,1.7519988412514498,319.739788528389,134.027911355736,17.0819887022016
Solomon Islands,SLB,245.39,13.44,70.55,118.82,25.98,163.14,9.02492041384799,12.033227218464,255.70607839236,108.299044966176,10.529073816156,2018.57386589733
South Africa,ZAF,373.53,124.73,13.11,148.43,131.82,34.27,394.018282115257,133.50694286338,19.1636760090975,330.303154187574,117.48807522500601,87.4977412312813
Spain,ESP,230.67,346.63,87.24,441.14,205.41,86.8,785.488258895657,340.408697583323,49.5461525803625,1265.08879587795,264.621938497079,293.700418002855
Sri Lanka,LKA,424.94,23.23,61.65,175.11,18.34,174.02,299.820133699827,32.7589292248002,46.60011918865621,154.63950166515,18.6140140893236,266.497143442017
Sudan,SDN,254.42,223.82,2.12,321.81,54.12,50.05,190.70427641091499,210.31570909146998,1.7489387051624599,322.201147856396,50.3461155259434,99.9460172043508
Suriname,SUR,324.71,36.87,34.06,295.4,95.32,49.94,871.263628071682,29.204367421397098,131.419653396287,455.91262474514394,40.5616214186071,51.9188754158171
Sweden,SWE,207.86,711.64,66.61,314.61,181.9,25.17,1144.9262863609101,584.726229012949,43.013702579122295,78.3165254302377,135.637161480602,115.29158725851102
Switzerland,CHE,201.69,674.94,34.58,350.47,158.52,52.03,199.002346696365,943.8397014741879,0.8747355898741321,175.493827718498,135.037306686819,40.2378371342101
Tajikistan,TJK,294.56,118.26,1.07,456.26,36.24,25.92,284.151567950433,211.611364047679,0.4292319757559411,625.069064694589,27.148922466563302,56.01477283615029
Thailand,THA,393.75,52.65,47.99,253.86,59.84,47.86,880.6549799307311,55.2249423738887,64.22886556274649,352.842890242541,75.22632599723109,394.39031879875097
Timor-Leste,TLS,418.57,6.86,12.05,80.98,68.3,33.72,324.563387110257,10.616559391456999,7.58325670818357,72.7992643985622,56.116099640558396,36.3996321992811
Togo,TGO,281.39,18.42,25.76,54.89,27.28,68.15,309.821127081752,25.766811048782202,5.45067156801162,52.4007743924754,20.3161394807706,111.986524942784
Trinidad and Tobago,TTO,263.21,68.8,43.51,215.83,153.68,76.54,14.5644260871469,9.2682711463662,17.212503557537197,117.83944743237,68.8500142301489,34.4250071150745
Tunisia,TUN,417.99,266.87,25.85,827.34,64.51,76.23,217.384569251204,259.579409120792,21.584283471750805,897.370642534179,64.8339943380784,252.35759998926602
Turkey,TUR,378.32,382.29,11.02,722.51,80.24,87.01,893.421630571273,457.39657142464205,15.5030105281575,1016.85655418779,84.66584512732241,197.368803929636
Turkmenistan,TKM,415.02,313.41,7.24,407.85,125.86,18.91,527.166830479634,703.3781303400181,4.89023033840105,435.230500117694,116.71349740983801,160.399555099555
Uganda,UGA,158.1,79.59,24.82,299.72,24.41,75.81,164.489868268392,77.7476278238713,24.396996765244104,309.044447351176,23.234104896083604,90.5869033588879
Ukraine,UKR,319.83,323.95,18.56,414.77,102.12,27.62,2410.07151753587,470.176092635977,5.775722124125481,499.923081058483,104.85157086873899,881.888144889634
United Arab Emirates,ARE,324.83,100.86,50.59,446.13,135.6,96.42,0.979374709864081,41.231675285277795,14.200933293029198,186.27706981614799,34.7678022001749,57.097545585075906
United Kingdom,GBR,236.64,478.37,40.0,334.98,168.84,35.89,683.05943677626,444.78961610321295,23.182339472351604,88.9551683377581,120.650095922952,106.944553572988
Uruguay,URY,313.8,438.3,17.25,278.54,124.05,41.29,1924.97073572469,1189.0150732266302,31.905592304829103,336.869878751821,392.17290541352503,1695.51635106579
Uzbekistan,UZB,377.74,466.65,4.56,836.43,80.98,25.61,470.14145577887297,548.395707698396,3.5196814956307203,956.8254145872099,77.5503156203968,142.224463102611
Vanuatu,VUT,170.11,36.98,59.82,257.33,81.99,323.47,6.69188212296684,26.7675284918674,384.783222070593,234.215874303839,60.2269391067016,2121.3266329804896
Yemen,YEM,352.25,30.18,9.56,115.24,40.9,24.6,31.4287601767537,28.0051479570637,12.3934762352776,108.288854508793,33.791052608339804,8.52479442702796
Zambia,ZMB,309.08,29.89,24.39,68.06,31.11,39.49,333.066858488,49.5315551130524,12.1115221268363,63.18558241641979,37.5342926289221,63.7568806299498
Zimbabwe,ZWE,298.18,58.67,7.64,62.92,38.92,35.79,105.003812262797,55.4898194884698,3.41475812236737,67.1787992150351,35.4609497322766,33.6879022456627
