,,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction
FoodGroup,,Cereals,Dairy and Eggs,Fish and Seafood,Fruits and Vegetables,Meat,Oilseeds and Pulses,Cereals,Dairy and Eggs,Fish and Seafood,Fruits and Vegetables,Meat,Oilseeds and Pulses
NAME,ISO3,,,,,,,,,,,,
Afghanistan,AFG,349.47,118.88,0.42,160.5,25.17,13.55,306.317551781854,117.940165806542,0.369057291303438,150.232678795592,20.3508734918753,12.837921490341001
Albania,ALB,296.27,736.27,10.7,861.63,99.18,58.42,436.250748137872,744.45091696621,4.08004296819592,950.6500115896499,69.0468810002387,64.0252896547668
Algeria,DZA,441.77,268.3,8.32,594.94,42.35,54.91,171.786840550614,175.76011055670298,4.4299677079382,561.806677929915,36.7413301137761,29.8223599307592
Angola,AGO,197.76,21.97,45.43,192.77,56.67,40.84,131.436574885294,14.412475909451802,32.468738053347394,342.841244094364,21.1795074877046,71.769575296277
Antigua and Barbuda,ATG,173.09,171.84,107.18,385.37,149.51,32.11,0.0,116.34305867265101,106.64780378326401,232.686117345303,9.69525488938762,0.0
Argentina,ARG,263.58,423.95,14.42,314.15,234.84,31.68,2363.1438644126997,541.188755559435,34.454792547582805,482.851484558943,268.456748535476,3217.2478447105104
Armenia,ARM,290.27,412.14,13.17,1069.17,103.94,29.98,369.627769137427,475.058508656492,14.264158876108802,1262.99824135633,75.6620601254465,8.68253148980533
Australia,AUS,188.21,461.56,49.77,328.35,275.5,57.28,2822.7071225321197,741.516890003134,19.4836765904105,399.377464117831,441.794261986838,541.297474146036
Austria,AUT,231.46,494.67,28.07,382.73,201.83,43.07,1016.45495272312,781.156711404756,0.8362443049963929,264.880383607608,225.995023425275,106.62114888704001
Azerbaijan,AZE,412.26,274.66,2.75,475.08,76.14,15.42,546.512321841469,382.756602842223,0.18855005066119396,520.586689875555,68.8207684913356,56.5650151983581
Bangladesh,BGD,570.16,40.03,47.72,122.67,9.22,28.86,643.724215404334,46.9975515544079,42.7767708280269,109.473234355765,8.58670521914383,15.350404732532999
Barbados,BRB,190.57,87.4,80.19,247.27,159.34,63.11,0.0,47.693028879854204,19.0772115519417,98.56559301836529,127.181410346278,66.7702404317959
Belarus,BLR,235.19,307.06,32.6,419.63,181.18,38.91,1573.63982003132,1408.24137552943,2.6909683010184904,436.897924872503,256.891366736516,199.227760286119
Belgium,BEL,267.69,524.97,49.5,585.15,159.38,35.61,520.701883160258,702.9756709373011,4.018381564749641,418.87609430950204,358.520003206962,144.74210396228202
Belize,BLZ,270.41,103.82,25.31,421.44,88.26,53.95,409.69483002244203,45.242373867508896,201.07721718892898,1678.99476352755,113.105934668772,110.592469453911
Benin,BEN,280.4,30.94,38.01,191.76,50.33,70.97,281.95264680714297,26.4196578085184,7.0338050009691795,178.50424642703499,14.9253910996175,275.776622903853
Bermuda,BMU,,,0.0,,0.0,,,,0.0,,0.0,
Bosnia and Herzegovina,BIH,342.18,412.09,9.56,631.94,76.1,39.04,601.552094268318,388.337059976205,1.58720869200084,574.834081286304,47.8807955420253,63.7528824620337
Botswana,BWA,231.29,338.29,7.91,162.77,62.99,32.88,38.0717232826587,306.712647119846,0.0,63.31028141385939,61.1714205552831,7.6998990908747995
Brazil,BRA,253.78,318.12,18.04,302.05,207.1,93.51,941.060415308187,333.016136726356,11.335832203144697,431.804254078693,259.34875594318,1052.29354609685
Bulgaria,BGR,268.12,328.34,14.07,251.48,126.94,35.79,2198.6170424209804,310.59608055290903,5.67011100400848,237.388647367822,60.9851939097801,650.550735859906
Burkina Faso,BFA,429.47,48.31,13.77,43.02,30.11,84.54,419.765325538275,47.08584797207379,2.10383576045436,38.8708702407759,28.4518740937638,198.61211405241798
Cambodia,KHM,506.26,7.18,82.44,108.41,28.92,31.72,1137.96735032317,5.4940385685864195,88.02151153501221,106.666174336917,27.0610623112289,70.1951097965137
Cameroon,CMR,284.46,19.82,40.28,409.65,28.58,89.89,284.790356149379,20.7927331397003,17.5998415339786,662.174568864689,26.944890136091104,367.688724790618
Canada,CAN,224.24,372.65,44.61,395.43,201.32,68.78,3201.82970801084,447.565698254738,53.0058396999113,164.154427080153,258.683606288451,1748.6135489032001
Cape Verde,CPV,318.56,121.3,25.14,253.25,65.72,55.6,31.1188969775508,44.9495178564622,129.66207073979498,183.255726645577,20.7459313183672,50.136000686054004
Central African Republic,CAF,74.9,34.54,15.86,117.94,80.48,43.68,53.1005181197239,33.1121101583069,11.3065742003975,138.909340176312,74.704150966912,108.421970457383
Chad,TCD,311.75,73.28,14.28,32.77,68.28,67.74,315.33900728369,71.29683161623079,12.8578596242075,29.315919943193197,96.5625257777986,157.63735899278402
Chile,CHL,288.78,201.29,24.11,245.04,169.41,28.33,382.626812600344,229.65686377081002,328.96111768094,861.7811968713389,170.23586384593798,58.81517834534921
Colombia,COL,230.73,262.37,14.74,446.42,116.98,48.25,152.98985872884398,286.889393184061,6.77706511713745,521.070401048638,106.27583523127899,322.282854387364
Costa Rica,CRI,239.79,372.51,29.49,395.03,107.36,61.35,76.350402244317,436.769212838813,14.0350004125583,2387.63427018441,106.853136474277,415.81027888939303
Croatia,HRV,253.46,488.91,33.7,309.42,156.4,29.26,1201.25870272416,318.049583379598,38.148804475450504,728.6850293063569,94.5147346835598,183.24285295792197
Cuba,CUB,351.49,197.96,13.7,552.85,107.61,58.77,126.888207982848,96.0473240981282,9.21221206946183,703.0119401878011,59.1183696283725,31.3215210361702
Cyprus,CYP,204.33,232.5,46.12,377.85,145.75,48.99,137.525676583576,348.502566797016,10.939542455511699,427.423551654637,132.837301245499,17.190709572947
Denmark,DNK,258.59,644.93,49.41,310.14,162.43,13.24,3204.58358163303,1754.18857417085,249.732664286505,113.06542718973999,737.0781445288811,314.797113219388
Djibouti,DJI,346.57,75.82,9.65,255.36,37.86,57.48,0.0,29.7766386940776,3.97021849254368,77.41926060460179,26.7989748246699,3.97021849254368
Dominica,DMA,130.73,159.28,65.19,935.47,118.67,71.94,0.0,178.429193593706,25.4898847991009,1644.09756954201,25.4898847991009,229.408963191908
Dominican Republic,DOM,215.36,174.65,18.18,618.16,117.3,89.42,151.76101570949498,141.437737315303,2.55876131138102,807.421543463714,91.4095420203702,141.70243676130698
Ecuador,ECU,320.99,237.39,16.81,296.87,113.04,37.04,399.03332434823096,232.61555592702203,120.532573362234,1063.69716204396,106.543184624741,546.593396751299
Egypt,EGY,525.04,100.39,47.09,576.62,64.45,31.38,454.26693281394796,112.609916915966,29.8036006687397,623.176901437704,48.13521938760879,29.008707137568102
El Salvador,SLV,267.8,255.37,14.47,250.81,60.83,69.21,244.971159440453,175.409676812456,16.350534061013903,105.991619921835,45.465958748608706,60.0953839610948
Estonia,EST,255.32,728.93,24.74,358.39,145.33,24.98,2139.4538784943697,1104.9017128781402,102.07581367413499,127.59476709266899,133.112378642622,431.753103783841
Ethiopia,ETH,313.75,69.2,0.9,41.95,13.05,54.6,458.741033660183,66.1436375655945,0.827695138198407,45.6042027774753,12.5503773672476,75.3562443211942
Fiji,FJI,298.06,57.4,73.2,178.13,89.22,169.35,14.621403819808199,140.992108262436,88.77280890597841,126.370704442628,66.8407031762661,440.73088656850405
Finland,FIN,227.2,955.9,69.71,305.2,166.1,21.41,1220.31172552325,847.746732419651,65.5423088711796,95.49977832997641,159.883511034241,55.115123368946506
France,FRA,263.58,535.01,67.51,358.01,198.88,47.69,2051.4734430563603,768.401734979799,18.9028543966785,407.206612472305,188.40923972743,280.375919271658
French Polynesia,PYF,202.53,95.26,96.42,224.12,192.33,139.39,0.0,19.9293717047452,89.6821726713532,139.505601933216,13.2862478031634,903.464850615114
Gabon,GAB,254.65,30.5,68.62,328.35,148.47,37.78,47.04325893751061,14.9047949108944,30.275364662754303,386.127343160359,36.79621243627071,51.2352325061997
Georgia,GEO,388.78,305.78,12.9,202.68,70.95,21.09,164.115591250888,276.606909979176,6.76300513396518,276.832343483641,36.520227723412,28.404621562653798
Germany,DEU,230.5,567.36,25.94,323.84,191.07,36.66,1084.06439071735,754.765440182052,6.66628500645759,134.62346276768,232.63227194747898,193.344449163997
Ghana,GHA,184.3,16.96,49.41,421.19,30.51,56.86,179.87855203073997,5.79833072464174,25.440990426658395,417.642686632763,15.929122046909,262.749076544721
Greece,GRC,281.0,492.63,35.9,552.34,147.11,112.22,724.999086751565,350.20204742137497,29.360803489762898,1170.26205445719,84.763363118272,484.751120804897
