,,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction
FoodGroup,,Cereals,Dairy and Eggs,Fish and Seafood,Fruits and Vegetables,Meat,Oilseeds and Pulses,Cereals,Dairy and Eggs,Fish and Seafood,Fruits and Vegetables,Meat,Oilseeds and Pulses
NAME,ISO3,,,,,,,,,,,,
Afghanistan,AFG,354.61,112.4,0.5,173.12,21.93,13.82,244.79124319382998,107.674155164286,0.44989201322125105,171.158917029952,18.720506550151,8.64792425414183
Albania,ALB,291.52,823.81,10.72,935.89,111.78,59.96,441.61326828862394,760.8707236397299,4.08901174341318,1043.95615202987,69.5131996380241,61.64971551607571
Algeria,DZA,437.13,260.5,7.72,575.99,39.57,57.68,152.486338703415,157.37414286194,4.20833362527752,563.807113765696,35.091365281611,30.050132292997304
Angola,AGO,208.02,20.65,40.44,189.67,51.46,39.27,175.91924510938,13.4784201977612,31.2468116097082,373.288346289689,20.3849695993228,64.6538214903895
Antigua and Barbuda,ATG,151.85,167.0,105.09,410.15,149.9,30.48,0.0,114.07544797233601,104.569160641308,237.657183275699,9.50628733102798,0.0
Argentina,ARG,261.26,349.81,14.6,322.89,236.52,32.09,3159.3731398994105,451.454055156981,34.6462339150887,451.908296602828,272.04933138570203,2913.38074963459
Armenia,ARM,293.8,424.94,11.66,917.88,109.43,31.74,183.298325177687,489.822415180709,10.4741900101535,1048.3431942515401,81.02094037265809,7.39354588952014
Australia,AUS,199.42,459.04,51.87,338.39,265.95,62.46,3695.9550157781605,671.626170548904,20.2214791198725,424.61416100798,381.182261511465,786.755759698543
Austria,AUT,231.48,503.56,28.23,362.09,197.32,40.7,1004.7033503781199,807.732945384868,0.8228528668125491,249.427275252554,216.307447363349,123.633643238585
Azerbaijan,AZE,414.72,285.18,6.4,471.28,77.26,14.57,520.428069377125,394.283234572365,0.368575119955471,533.8810612555001,71.13499815140601,87.72087854940209
Bangladesh,BGD,574.56,41.91,48.61,125.43,9.59,30.73,605.960604637543,48.5788804951636,44.0567440346151,117.291494176488,9.027229693230598,15.145748497264199
Barbados,BRB,196.9,75.09,79.94,276.92,150.03,60.35,0.0,53.880253642175894,19.0165601090033,91.9133738601824,117.268787338853,57.0496803270097
Belarus,BLR,244.28,277.46,32.56,480.39,184.21,38.19,1445.5089167142,1459.2363556230898,2.6878901360072702,479.404404972154,263.989209786428,234.038433985205
Belgium,BEL,271.06,511.7,46.06,446.11,162.64,35.8,456.780030210819,693.670125878412,3.89256025744872,410.784267168721,343.33970270802797,146.72568970424
Belize,BLZ,260.74,94.78,24.32,409.4,85.48,60.41,574.580275168321,48.284056736833705,193.13622694733502,1255.38547515768,111.053330494717,120.71014184208401
Benin,BEN,276.13,29.18,35.19,205.15,43.25,72.87,307.503828119407,25.1653080034362,8.604911768916889,199.45536053046,15.829790518290501,290.212826168659
Bermuda,BMU,,,0.0,,0.0,,,,0.0,,0.0,
Bosnia and Herzegovina,BIH,345.72,405.25,9.77,645.82,78.15,34.22,631.762147437141,387.61070913881105,1.62406721706206,545.957262802362,50.887439467944496,51.6994730764755
Botswana,BWA,244.66,241.92,7.61,147.71,59.67,31.92,20.5703421191068,205.292014348686,0.0,60.065398987791795,66.647908465906,2.05703421191068
Brazil,BRA,259.78,305.1,18.18,289.71,211.32,90.96,1028.46602403305,319.841981805464,11.3576095074421,427.3769809697,265.37172467887996,1184.67025686676
Bulgaria,BGR,258.26,356.6,14.4,296.39,130.96,35.24,2457.11584258368,300.162303377431,6.25870334701877,259.033681382736,63.353405308598205,829.0866005203841
Burkina Faso,BFA,423.0,51.1,14.12,43.16,27.77,86.08,384.08258068079203,49.62917914285401,2.07969893551007,37.1037196448956,26.6106931975493,183.486165173866
Cambodia,KHM,501.57,9.52,85.37,107.31,27.63,31.35,1257.9793384016,5.55324212447554,97.181737178322,104.54828285364701,25.102921032068,69.2455293480522
Cameroon,CMR,282.02,17.92,36.12,439.65,26.18,85.1,299.969175167212,19.424324281417398,17.430192130853698,708.4708390475149,24.5942965236198,373.124282394376
Canada,CAN,237.43,365.58,45.13,390.52,182.0,81.83,2783.2168377250396,439.365599843189,53.3709421731946,162.187402707713,253.098294951827,2061.75827096736
Cape Verde,CPV,309.94,114.78,22.26,236.17,67.32,55.15,16.8778604651163,43.8824372093023,65.82365581395351,148.525172093023,16.8778604651163,43.8824372093023
Central African Republic,CAF,74.67,34.78,15.46,124.49,82.49,44.47,56.4520846297449,33.160665097192805,11.448324854983198,145.47267962280398,75.401036113855,121.19433553378799
Chad,TCD,296.82,81.85,14.36,27.22,72.53,67.31,328.336722326735,80.89105265786542,12.9280696555513,27.487250903158102,103.001676461285,161.480047613498
Chile,CHL,293.68,211.8,23.98,249.38,170.99,28.52,340.959840155405,220.184811785751,357.315303533646,838.205219258448,160.90239647783199,63.0151937365867
Colombia,COL,254.97,269.67,14.33,453.78,119.32,50.81,160.645164347297,293.46816652845297,6.584578379319989,542.940220618182,106.076630285439,307.898594638625
Costa Rica,CRI,240.14,367.74,36.95,346.65,113.1,72.04,58.2803523267912,445.349862119819,13.378823018414302,2547.29124839645,107.580398791907,538.451808604127
Croatia,HRV,235.29,501.99,37.5,649.21,166.07,29.07,1152.29147162468,307.754865092305,37.0867384994956,570.398375752476,103.235599565847,228.15935030098998
Cuba,CUB,335.52,207.12,11.38,588.16,119.68,71.61,125.846242476354,104.565186850982,8.40041669422581,726.9960619088561,65.3632422779284,34.4017064620676
Cyprus,CYP,193.53,242.4,49.91,372.19,150.74,51.65,75.36292045300421,376.814602265021,13.8421690627967,397.577855859216,129.962587311813,14.6111784551743
Denmark,DNK,258.73,659.88,49.02,321.47,184.49,13.0,3173.73187062019,1810.32805764557,247.834053525043,120.43532230687,713.432894821772,303.857843402352
Djibouti,DJI,349.85,52.4,7.38,225.01,35.52,56.36,0.0,28.8269780743565,3.84359707658087,90.3245312996505,25.9442802669209,3.84359707658087
Dominica,DMA,134.54,179.82,56.13,946.94,116.12,67.82,0.0,177.730058774139,25.3900083963056,1663.04554995802,25.3900083963056,203.120067170445
Dominican Republic,DOM,218.49,213.89,19.14,668.42,121.72,95.08,163.952735158992,169.906808172661,2.93389105021354,839.869458580248,88.01673150640629,151.009098172756
Ecuador,ECU,336.22,231.69,16.29,237.56,98.01,38.86,274.39258049872,225.75099640400902,127.008580691746,988.126757781781,92.6351945981498,437.93639546604896
Egypt,EGY,524.25,90.4,47.39,526.17,63.68,32.94,429.838370786185,95.4193021983337,34.2866084890503,578.771120362902,44.727797905468904,29.9220031834483
El Salvador,SLV,271.79,220.15,13.27,306.43,65.29,77.73,292.542747251543,150.24768281171498,16.7573029979039,139.738865677436,47.4316881466094,68.7333444998771
Estonia,EST,262.29,749.56,29.45,349.5,142.76,23.05,1825.52253314031,1113.1905767059,114.82571112408002,91.44802143414759,118.951185775245,363.041769302481
Ethiopia,ETH,319.52,62.59,0.88,43.74,13.18,54.82,448.101980339835,61.39703098460979,0.7844086724877242,45.3678102859476,12.3373842292363,70.0852096505336
Fiji,FJI,296.5,62.36,69.71,178.0,97.43,175.5,20.6775237617669,134.403904451485,95.11660930412779,114.760256877806,69.2697046019192,454.905522758872
Finland,FIN,228.34,943.98,67.25,308.34,169.89,18.42,1126.70376421833,833.546802337713,67.4870041387169,97.2800474292236,159.005965848782,48.2285175918147
France,FRA,264.0,556.11,69.11,377.41,194.12,45.56,1923.0766078456898,778.856169355566,19.712741918843104,360.327656578994,184.186123038729,294.473947415052
French Polynesia,PYF,207.59,94.32,94.94,229.35,200.46,117.93,0.0,19.714270191959397,82.1427924664976,147.857026439696,13.142846794639599,1018.5706265845698
Gabon,GAB,249.83,27.92,61.87,313.33,134.48,36.57,45.692718977925395,14.9380042812449,25.4824778915353,367.738517158881,36.02695150182579,48.3288373804981
Georgia,GEO,379.42,289.56,16.08,176.6,71.57,21.9,134.19762542657,259.56943737651903,14.935992037358599,238.070660959109,36.4347684547686,20.5935647787823
Germany,DEU,227.79,569.56,25.53,327.06,191.64,39.53,999.9860158210159,746.921969101511,6.40946323550138,131.152543945619,227.942023866658,174.251794161054
Ghana,GHA,215.18,16.62,51.02,412.21,30.89,54.07,193.140902571196,5.607316526260519,23.6753364442111,408.4618571796,15.6070309980918,256.97085569512797
Greece,GRC,275.87,476.29,38.89,539.74,155.26,109.85,625.535319245561,344.267585825185,34.9331606658814,1065.84763918652,88.23412571136619,488.463433291231
